"Title",Genre
"System Shock 2",Sci-Fi
"System Shock 2",Sci-Fi
"System Shock 2",Survival
"Tom Clancy's Splinter Cell: Chaos Theory",Action Adventure
"Tom Clancy's Splinter Cell: Chaos Theory",Modern
"Tom Clancy's Splinter Cell: Chaos Theory",General
"Tom Clancy's Splinter Cell: Chaos Theory",Modern
"Final Fantasy XII",Role-Playing
"Final Fantasy XII",Console-style RPG
"Undertale",Role-Playing
"Undertale",Japanese-Style
"Madden NFL 2003",Sports
"Madden NFL 2003",Traditional
"Madden NFL 2003",Football
"Madden NFL 2003",Sim
"The Witcher 3: Wild Hunt",Action RPG
"The Witcher 3: Wild Hunt",Role-Playing
"The Witcher 3: Wild Hunt",Action RPG
"Super Mario World: Super Mario Advance 2",Action
"Super Mario World: Super Mario Advance 2",Platformer
"Super Mario World: Super Mario Advance 2",2D
"ESPN NFL 2K5",Sports
"ESPN NFL 2K5",Traditional
"ESPN NFL 2K5",Football
"ESPN NFL 2K5",Sim
"Super Smash Bros. Melee",Action
"Super Smash Bros. Melee",Fighting
